CollectionName,Date,TotalRecords,NoOfRecordsUpdated,MinPersistTime(in ms),MaxPersistTime(in ms) ,AvgPersistTime(in ms)
CouponSchedule,20200505,4,3,15,60000,36503.75
ComparableOffer,20200505,1,1,-77000,-77000,-77000.0
